String,CMC,pCMC,Temperature,Class,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC(CO)O,1.09,-3.037426497940624,23.0,Nonionic,8.11111111111111,8.11111111111111,0.13888888888888884,-0.5601851851851853,0.43583499661104974,15.0,76.095,68.031,76.052429496,32,0,0.07423864406366021,-0.3937000421977661,0.3937000421977661,0.07423864406366021,1.8,2.0,2.0,1.3787834934861756,2.5395388613593908,18.854752972273346,4.284457050376173,3.178884241376089,3.178884241376089,2.270055610029662,1.560025215417488,1.560025215417488,1.0315955518811348,1.0315955518811348,0.26422384392782794,0.26422384392782794,0.0,0.0,-0.08,1.3787834934861756,4.920000000000001,2.1751020408163266,3.92,31.057602761014785,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.71084835226122,10.213054789681411,0.0,0.0,0.0,0.0,13.027703587438927,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,40.46,6.103966387748303,0.0,0.0,6.606881964512918,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.00462962962963,0.0,0.0,0.0,-0.5601851851851853,1.3888888888888888,0.0,1.0,5,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-0.6405,18.766600000000004,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CO)CO,1.11,-3.0453229787866576,21.5,Nonionic,7.90625,7.90625,0.09375,0.09375,0.4590493065582775,8.4,76.095,68.03099999999999,76.052429496,32,0,0.045238236823877565,-0.39628647261089006,0.39628647261089006,0.045238236823877565,1.0,1.4,1.4,1.4056390622295665,2.19060968716425,12.36452797660028,4.121320343559642,3.015747534559558,3.015747534559558,2.414213562373095,1.6324555320336755,1.6324555320336755,0.8007669860932315,0.8007669860932315,0.31622776601683783,0.31622776601683783,0.07071067811865472,0.07071067811865472,-0.08,1.4056390622295665,4.920000000000001,3.9200000000000004,3.92,31.057602761014792,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,0.0,6.4208216229260096,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,15.8125,0.0,0.0,0.0,0.5,0.1875,0.0,1.0,5,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.6389,18.7886,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC(CO)O,0.55,-2.740362689494244,22.0,Nonionic,8.416666666666668,8.416666666666668,0.11458333333333326,-0.5092592592592595,0.49054291541768236,14.5,90.12199999999999,80.04199999999999,90.06807956,38,0,0.07678623664008573,-0.39368882817264456,0.39368882817264456,0.07678623664008573,1.6666666666666667,2.1666666666666665,2.1666666666666665,1.6500224216483543,2.754184786037662,24.72905595320056,4.99156383156272,3.8859910225626364,3.8859910225626364,2.808060412490447,2.0980300178782727,2.0980300178782727,1.2446459825638418,1.2446459825638418,0.6819984233962213,0.6819984233962213,0.12909944487358055,0.12909944487358055,-0.08,1.6500224216483543,5.92,3.1232520325203255,2.1751020408163266,37.4225448754114,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,0.0,12.71084835226122,10.213054789681411,0.0,0.0,0.0,0.0,19.448525210364934,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,40.46,6.103966387748303,0.0,0.0,6.606881964512918,6.4208216229260096,0.0,0.0,0.0,6.923737199690624,0.0,10.213054789681411,0.0,0.0,0.0,16.501435185185187,0.0,0.0,0.0,0.12615740740740722,1.7057407407407408,0.0,1.0,6,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.25039999999999996,23.383599999999994,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(CCO)O,0.53,-2.724275869600789,21.5,Nonionic,8.39236111111111,8.39236111111111,0.0810185185185186,-0.3518518518518521,0.49054291541768236,14.5,90.12199999999999,80.04199999999999,90.06807956,38,0,0.05334957508052504,-0.39627512172883306,0.39627512172883306,0.05334957508052504,1.6666666666666667,2.1666666666666665,2.1666666666666665,1.3485878960124225,2.6272148478988635,26.72905595320056,4.99156383156272,3.8859910225626364,3.8859910225626364,2.770055610029662,2.060025215417488,2.060025215417488,1.3613032983908713,1.3613032983908713,0.546874024341974,0.546874024341974,0.18683447179254312,0.18683447179254312,-0.08,1.3485878960124225,5.92,3.1232520325203255,3.9200000000000004,37.4225448754114,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,6.606881964512918,6.103966387748303,10.213054789681411,0.0,0.0,0.0,0.0,19.448525210364934,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,12.71084835226122,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.469027777777775,0.0,0.0,0.0,0.13425925925925908,1.7300462962962964,0.0,1.0,6,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.25039999999999996,23.383599999999994,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CCO)CO,0.58,-2.7634279935629373,22.0,Nonionic,8.08625,8.08625,0.19500000000000006,0.19500000000000006,0.4690628122836084,9.0,90.122,80.042,90.06807956,38,0,0.04313700838996922,-0.3963750384086942,0.3963750384086942,0.04313700838996922,0.8333333333333334,1.1666666666666667,1.3333333333333333,1.6143308351592656,2.3390923149762908,17.509775004326936,4.82842712474619,3.7228543157461056,3.7228543157461056,2.914213562373095,2.1324555320336755,2.1324555320336755,1.1543203766865051,1.1543203766865051,0.5662277660168378,0.5662277660168378,0.22360679774997888,0.22360679774997888,-0.08,1.6143308351592656,5.92,4.920000000000001,3.9200000000000004,37.422544875411404,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,0.0,12.841643245852019,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,12.841643245852019,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,0.0,12.841643245852019,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.1725,0.0,0.0,0.0,1.4375,0.3900000000000001,0.0,1.0,6,2,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-0.24880000000000002,23.405599999999996,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC(CCCO)O,0.29,-2.462397997898956,24.0,Nonionic,8.57236111111111,8.57236111111111,0.18541666666666679,-0.25726851851851884,0.5343568186867893,14.142857142857142,104.14899999999999,92.05299999999998,104.083729624,44,0,0.0512512821083535,-0.396374842711442,0.396374842711442,0.0512512821083535,1.5714285714285714,2.142857142857143,2.2857142857142856,1.6121972227029933,2.6782577431647265,35.06139398862029,5.698670612749268,4.593097803749185,4.593097803749185,3.270055610029662,2.560025215417488,2.560025215417488,1.714856688984145,1.714856688984145,0.7800126077087437,0.7800126077087437,0.3866983310669868,0.3866983310669868,-0.08,1.6121972227029933,6.92,4.088918918918919,5.920000000000001,43.787486989808,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,6.606881964512918,6.103966387748303,10.213054789681411,0.0,0.0,0.0,0.0,25.869346833290944,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,12.71084835226122,12.841643245852019,0.0,0.0,6.923737199690624,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.77638888888889,0.0,0.0,0.0,1.1536111111111107,1.9033333333333335,0.0,1.0,7,2,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0.13970000000000005,28.000599999999988,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CCO)CCO,0.285,-2.45484486000851,21.0,Nonionic,8.21125,8.21125,0.25,0.25,0.4979883001019883,9.428571428571429,104.149,92.053,104.083729624,44,0,0.043053863150362574,-0.3963765571479563,0.3963765571479563,0.043053863150362574,0.7142857142857143,1.1428571428571428,1.4285714285714286,1.690933805959686,2.447472887876344,25.26112492884004,5.535533905932738,4.4299610969326535,4.4299610969326535,3.414213562373095,2.6324555320336755,2.6324555320336755,1.5078737672797788,1.5078737672797788,0.8162277660168377,0.8162277660168377,0.4003834930466157,0.4003834930466157,-0.08,1.690933805959686,6.92,5.92,5.920000000000001,43.78748698980801,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,0.0,19.26246486877803,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,19.26246486877803,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,0.0,19.26246486877803,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.4225,0.0,0.0,0.0,2.5775,0.5,0.0,1.0,7,2,2,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0.1413000000000001,28.02259999999999,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CCCCOCCO,0.98,-2.991226075692495,25.0,Nonionic,8.240586734693878,8.240586734693878,0.14257369614512472,0.14257369614512472,0.540825251834061,9.75,118.17599999999999,104.06399999999998,118.099379688,50,0,0.06971936249325353,-0.39398034274945215,0.39398034274945215,0.06971936249325353,1.375,2.125,2.625,1.8088121254443208,2.53006045688352,31.509775004326936,6.242640687119286,5.390995791896559,5.390995791896559,3.914213562373095,3.100684816393011,3.100684816393011,1.6895326240390471,1.6895326240390471,0.8778531854030206,0.8778531854030206,0.41301143496612813,0.41301143496612813,-0.08,1.8088121254443208,7.919999999999998,6.92,5.92,50.471740581515476,9.843390348640755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,6.4208216229260096,6.606881964512918,13.213763929025836,9.843390348640755,0.0,0.0,0.0,0.0,19.765380445542643,19.820645893538753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.927173288379457,4.736862953800049,0.0,19.765380445542643,0.0,0.0,0.0,0.0,29.46,0.0,0.0,0.0,6.606881964512918,6.606881964512918,19.448525210364938,0.0,0.0,0.0,6.923737199690624,9.843390348640755,4.973194444444444,0.0,0.0,8.240586734693878,0.0,0.0,0.0,2.255385487528345,3.5308333333333337,0.0,1.0,8,1,2,0,0,0,0,0,0,2,1,2,5,0,0,0,0,0.7953999999999999,32.81279999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C(CCCO)CCO,0.155,-2.1903316981702914,21.0,Nonionic,8.303086734693878,8.303086734693878,0.28316326530612246,0.28316326530612246,0.5168950977146299,9.75,118.17599999999999,104.06399999999998,118.099379688,50,0,0.0430524188901144,-0.39637656929582127,0.39637656929582127,0.0430524188901144,0.625,1.0,1.25,1.8088121254443208,2.53006045688352,31.509775004326936,6.242640687119286,5.1370678781192005,5.1370678781192005,3.914213562373095,3.1324555320336755,3.1324555320336755,1.8614271578730526,1.8614271578730526,1.0662277660168376,1.0662277660168376,0.5771601883432524,0.5771601883432524,-0.08,1.8088121254443208,7.919999999999998,6.92,5.92,50.15242910420461,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,12.841643245852019,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,0.0,25.683286491704038,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,25.683286491704038,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,0.0,25.683286491704038,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.606173469387755,0.0,0.0,0.0,3.8275,0.5663265306122449,0.0,1.0,8,2,2,0,0,0,0,0,0,2,2,2,5,0,0,0,0,0.5313999999999999,32.63959999999998,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CCC(CCCO)O,0.19,-2.278753600952829,24.0,Nonionic,8.877916666666668,8.877916666666668,0.19152777777777774,-0.2063425925925928,0.5649774680960821,13.875,118.17599999999999,104.06399999999998,118.099379688,50,0,0.053806628291691534,-0.39637484116970056,0.39637484116970056,0.053806628291691534,1.5,2.125,2.5,1.8266332986704337,2.862065598305084,45.79319390447951,6.405777393935816,5.300204584935733,5.300204584935733,3.808060412490447,3.0980300178782727,3.0980300178782727,1.927907119666852,1.927907119666852,1.1667109387757306,1.1667109387757306,0.5310358983643932,0.5310358983643932,-0.08,1.8266332986704337,7.919999999999998,5.0645086705202305,4.088918918918919,50.15242910420461,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,19.26246486877803,6.606881964512918,6.103966387748303,10.213054789681411,0.0,0.0,0.0,0.0,32.29016845621695,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,26.186202068468653,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,12.71084835226122,0.0,19.26246486877803,0.0,0.0,6.923737199690624,0.0,10.213054789681411,0.0,0.0,0.0,17.17746598639456,0.0,0.0,0.0,2.0317592592592595,2.124108087679516,0.0,1.0,8,2,2,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0.5297999999999998,32.61759999999998,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
