String,CMC,pCMC,Temperature,Class
CC(CO)O,1.09,-3.037426497940624,23.0,Nonionic
C(CO)CO,1.11,-3.0453229787866576,21.5,Nonionic
CCC(CO)O,0.55,-2.7403626894942437,22.0,Nonionic
CC(CCO)O,0.53,-2.724275869600789,21.5,Nonionic
C(CCO)CO,0.58,-2.7634279935629373,22.0,Nonionic
CC(CCCO)O,0.29,-2.462397997898956,24.0,Nonionic
C(CCO)CCO,0.285,-2.45484486000851,21.0,Nonionic
CCCCOCCO,0.98,-2.991226075692495,25.0,Nonionic
C(CCCO)CCO,0.155,-2.1903316981702914,21.0,Nonionic
CCC(CCCO)O,0.19,-2.278753600952829,24.0,Nonionic
CCCCCCC(CO)O,0.0251,-1.3996737214810382,20.0,Nonionic
CCCCCC(=O)[O-].[K+],1.55,-3.1903316981702914,25.0,Anionic
CCCCCCCC[NH3+].[Cl-],0.175,-2.2430380486862944,25.0,Cationic
CCCCCCCC(=O)[O-].[Na+],0.351,-2.545307116465824,25.0,Anionic
CCCCCCCC[N+](C)(C)[O-],0.15,-2.1760912590556813,27.0,Zwitterionic
CCCCCCCCOCCO,0.004900000000000001,-0.6901960800285137,25.0,Nonionic
CCCCCCCCC(O)CO,0.00226,-0.35410843914740087,25.0,Nonionic
C(CCCCCO)CCCCO,0.000785,0.10513034325474745,22.0,Nonionic
CCCCCCCC(=O)[O-].[K+],0.39,-2.591064607026499,25.0,Anionic
CCCCCCCCC(CCO)O,0.00229,-0.359835482339888,25.0,Nonionic
CCCCCCCCCC[NH3+].[Cl-],0.048,-1.6812412373755872,25.0,Cationic
CCCCCCCCCC(=O)[O-].[Na+],0.0955,-1.9800033715837464,25.0,Anionic
CCCCCCCCC(=O)[O-].[K+],0.2,-2.3010299956639813,25.0,Anionic
CCCCCCCCCC[N+](C)(C)[O-],0.015,-1.1760912590556813,27.0,Zwitterionic
CCCCCCCCCCC(CO)O,0.00182,-0.2600713879850748,25.0,Nonionic
CCCCCCCCOCC(CO)O,0.0058,-0.7634279935629373,25.0,Nonionic
CCCCCCCCCCS(=O)(=O)[O-].[Na+],0.0427,-1.6304278750250238,25.0,Anionic
CCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.065,-1.8129133566428555,25.0,Cationic
C=CCCCCCCCCC(=O)[O-].[Na+],0.1169,-2.0678145111618402,25.0,Anionic
CCCCOCC(O)C(O)C(O)CO,0.058,-1.7634279935629373,25.0,Nonionic
CCCCCCCCCCC(=O)[O-].[Na+],0.0559,-1.7474118078864231,25.0,Anionic
CCCCCCCCCS(=O)(=O)O,0.04,-1.6020599913279625,25.0,Anionic
CCCCCCCCCC(=O)[O-].[K+],0.099,-1.99563519459755,25.0,Anionic
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,0.71,-2.8512583487190755,25.0,Nonionic
CCCCCCCC[N+](C)(C)CC(=O)[O-],0.25,-2.3979400086720375,27.0,Zwitterionic
CCCCCCCCS(=O)(=O)[O-].[Na+],0.155,-2.1903316981702914,25.0,Anionic
CCCCCCCCCCC(CCO)O,0.00014099999999999998,0.8507808873446201,25.0,Nonionic
CCCCCCCCOCCOCCO,0.0058,-0.7634279935629373,25.0,Nonionic
CCCCCCCCCCCC[NH3+].[Cl-],0.0147,-1.167317334748176,25.0,Cationic
CCCCCOCC(O)C(O)C(O)CO,0.038,-1.5797835966168101,25.0,Nonionic
CCCCCCCCCCCC(=O)[O-].[Na+],0.023,-1.3617278360175928,25.0,Anionic
CCCCSCC(O)C(O)C(O)CO,0.18,-2.255272505103306,25.0,Nonionic
CCCCCCCCCCC(=O)[O-].[K+],0.05,-1.6989700043360187,25.0,Anionic
